Oak HC/FT Partners,2
Ignition Partners,2
Shasta Ventures,2
Morningside Venture Capital,2
OpenView Venture Partners,2
Xiang He Capital,2
Viking Global Investors,2
K2VC,2
Menlo Ventures,2
Amadeus Capital Partners,2
Tao Capital Partners,2
Zeev Ventures,2
Vostok New Ventures,2
Prosus Ventures,2
BDC Venture Capital,2
Mayfield Fund,2
Unicom Innovation Venture Capital,2
Aglae Ventures,2
Sinovation Ventures,2
Greycroft,2
Foundry Group,2
Matrix Partners,2
Nexus Venture Partners,2
Temasek Holdings,2
SoftBankGroup,2
,2
Vertex Ventures,2
GIC,2
Storm Ventures,2
Forerunner Ventures,2
Threshold Ventures,2
Global Founders Capital,2
Shenzhen Capital Group,2
IDG Capital Partners,2
New Horizon Capital,2
Thoma Bravo,2
WestCap Group,2
Fidelity Investment,2
Uniqa Ventures,2
SignalFire,2
Pritzker Group Venture Capital,1
Makers Fund,1
Delian Capital,1
Hyde Park Venture Partners,1
Digital Currency Group,1
Javelin Venture Partners,1
Costanoa Ventures,1
Balderton Capital,1
Temasek,1
Green Pine Capital Partners,1
Sodexo Ventures,1
Oak HC/FT Partners,1
Founders Fund. Accel,1
Northzone Ventures,1
Barter Ventures,1
China Culture Industrial Investment Fund,1
Invus Group,1
Bregal Sagemount,1
XBTO Ventures,1
March Capital Partners,1
Meritech Capital Partners,1
Jungle Ventures,1
Smilegate Investment,1
Iris Capital,1
TDK Ventures,1
ICONIQ Growth,1
Uniion Square Ventures,1
Eclipse Ventures,1
Walden International,1
IA Ventures,1
India Quotient,1
OMERS Private Equity,1
Capital One Growth Ventures,1
VY Capital,1
YL Ventures,1
Expa,1
B Capital Group,1
Tomales Bay Capital,1
Casa Verde Capital,1
Silverton Partners,1
Rubicon Technology Partners,1
Sierra Ventures,1
Alta Partners,1
M12,1
Centurium Capital,1
ICONIQ Capital,1
C5 Capital,1
Point72 Ventures,1
Auriga,1
Flybridge Capital Partners,1
Wellington Management,1
N5 Capital,1
Max Ventures,1
Atop Capital,1
Battery Ventures,1
CICC ALPHA,1
Runa Capital,1
Moore Strategic Ventures,1
Atomico,1
Playground Global,1
Falcon Edge Capital,1
The Carlyle Group,1
Credit Suisse,1
Airbus Ventures,1
Sequoia Capital Israel,1
Novator Partners,1
Pine Brook,1
Blume Ventures,1
MMC Ventures,1
JOY Capital,1
Bain Capital,1
TA Associates,1
ARCH Venture Partners,1
dmg ventures,1
Sozo Ventures,1
Freigeist Capital,1
One Equity Partners,1
Kuang-Chi,1
Upper90,1
NewView Capital,1
TVS Capital,1
China Reform Fund,1
RedBird Capital Partners,1
Alven Capital,1
Opus Capital,1
capitalG,1
Chiratae Ventures,1
Entree Capital,1
IDInvest Partners,1
Investment Corporation of Dubai,1
DCM Ventures,1
Holtzbrinck Ventures,1
Section 32,1
SAIF Partners India,1
Cambridge Innovation Capital,1
SBI Investment Korea,1
Koch Disruptive Technologies,1
Spark Capital,1
Propel Venture Partners,1
JAFCO Co,1
American Express Ventures,1
Russia-China Investment Fund,1
Volkswagen Group,1
Baidu Capital,1
Structure Capital,1
Astanor Ventures,1
China Grand Prosperity Investment,1
K2VC,1
Info Edge,1
Passion Capital,1
Kaalari Capital,1
China Everbright Limited,1
MindWorks Ventures,1
Oriza Holdings,1
Mitsubishi Corporation,1
Beijing Juneng Hesheng Industry Investment Fund,1
Dell Technologies Capital,1
Innova Capital - FIP,1
Volcanics Ventures,1
China Investment Corporation,1
Movile,1
Accel India,1
Red Sea Ventures,1
Notion Capital,1
Georgian Co-Investment Fund,1
Legend Capital,1
Softbank Group,1
Ginko Ventures,1
U.S.-China Green Fund,1
Seaya Ventures,1
Sinovation Ventures,1
500 Startups,1
Prometheus Capital,1
Morningside Venture Capital,1
Vickers Venture Partners,1
China Creation Ventures,1
Pitango Venture Capital,1
Standard Chartered,1
R-Z Capital,1
Star VC,1
Toyota Motor Corporation,1
TSG Consumer Partners,1
Inflexion Private Equity,1
Volkswagen,1
CPP Investment Board,1
Iconiq Capital,1
K2 Global,1
CDIB Capital,1
Activant Capital Group,1
Revolution,1
China Life Insurance,1
IMM Investment,1
Blue Label Telecoms,1
Warmsun Holding,1
K2 Ventures,1
Advent International,1
58.com,1
Cybernaut Growth Fund,1
GAM Holding,1
BoxGroup,1
Aviation Industry Corporation of China,1
Silver Lake Partners,1
Berkshire Partners,1
RRE Ventures,1
Hinduja Group,1
L Capital Partners,1
General Catalyst Partners,1
Maniv Mobility,1
China Minsheng Investment,1
Blue Cloud Ventures,1
Mithril,1
Artis Ventures,1
Tiger Global,1
World Innovation Lab,1
Data Collective,1
Aspect Ventures,1
Access Industries,1
Gaocheng Capital,1
Telling Telecommunication Holding Co.,1
Hanaco Venture Capital,1
Draper Fisher Jurtson,1
Alexandria Venture Investments,1
Ceyuan Ventures,1
Danhua Capital,1
MoreVC,1
DSC Investments,1
Playground Global,1
Bain & Company,1
Tengelmann Ventures,1
Arbor Ventures,1
We Capital,1
Lockheed Martin Ventures,1
Munich Re Ventures,1
CMB International Capital,1
Bain Capital Tech Opportunities,1
Blackstone,1
Hillsven Capital,1
CRE Venture Capital,1
Raven One Ventures,1
Israel Growth Partners,1
D1 Capita Partners,1
Afore Capital,1
Lenovo Capital and Incubator,1
Hony Capital,1
Stripe,1
Robert Bosch Venture Capital,1
Atlantic Food Labs,1
Alkeon Capital Management,1
Gron Ventures,1
Hellman & Friedman,1
iFly,1
Delta Capital,1
Qatar Investment Authority,1
SingTel Innov8,1
Max Ventures,1
Ally Bridge Group,1
Cedarlake Capital,1
Gavea Investimentos,1
Entree Capital,1
True,1
Krungsri Finnovate,1
Baidu Ventures,1
Pelion Venture Partners,1
Longfor Capitalm,1
H Capital,1
CJ ENM,1
5Y Capital,1
Venture51,1
Madrone Capital Partners,1
NewSpring Holdings,1
BGF Ventures,1
Bright Venture Capita,1
Connecticut Innovations,1
SV Angel,1
KCK Group,1
Centralway,1
SAIF Partners India,1
Summerhill Venture Partners,1
PremjiInvest,1
Teamworthy Ventures,1
Propulsion Ventures,1
Trammell Ventures,1
Ford Motor Company,1
Tenaya Capital,1
Globis Capital Partners,1
SoftBank Group. Monashees+,1
Ford Autonomous Vehicles,1
CSC Group,1
Volkswagen Group,1
Legend Star,1
Nichi-Iko Pharmaceutical,1
Tokopedia,1
Fifth Wall Ventures,1
Rusnano,1
Sutter Hill Ventures,1
China Construction Bank,1
TPG Alternative & Renewable Technologies,1
Spar Capital,1
TopoScend Capital,1
UBS Asset Management,1
Global Logistic Properties,1
New Hope Fund,1
Vertex Ventures China,1
Gopher Asset Management,1
iTech Capital,1
Visa,1
SAIF Partners,1
Just Eat,1
Scentan Ventures,1
Meituan Dianping,1
Oceanwide Holdings,1
Beijing Shuju Xinrong Fund,1
Shanghai Puyin Industry,1
SDIC Innovation Investment Management,1
Otter Rock Capital,1
Pear,1
Batavia Incubator,1
IKEA GreenTech,1
Lightspeed India Partners,1
3G Capital Management,1
China Everbright Investment Management,1
ES Ventures,1
GP Capital,1
Mizuho Financial Group,1
Insights Venture Partners,1
Banyan Capital,1
GX Capital,1
VentureHealth,1
QiMing Venture Partnersl,1
SF Holding Co,1
Softbank Corp.,1
NextView Ventures,1
Clal Industries and Investments,1
Zhongrong International Trust,1
New Leaf Venture Partners,1
Addor Capital,1
LowercaseCapital,1
Russia-China Investment Fund,1
Inova Ventures Participacees,1
China Development Bank Capital,1
Peterson Ventures,1
Leonardo DiCaprio,1
Team8,1
Warbug Pincus,1
Oryzn Capital,1
JERA,1
Highland Capital Management,1
East Ventures,1
Investment Corporation of Dubai,1
Essence Financial,1
Moore Capital Management,1
Goldstone Investments,1
Spectrum Equity,1
Vcanbio,1
KTB Ventures,1
iNovia Capital,1
BlockTower Capital,1
NXC,1
Fifty Years Fund,1
Rich Land Capital,1
Imaginary Ventures,1
Formation 8,1
Soros Fund Management,1
Nor-Cal Invest,1
Blumberg Capital,1
Passport Capital,1
PUC,1
Invesco Perpetual,1
Target Global,1
Grayhawk Capital,1
Cocnord Health Partners,1
Hyde Park Venture Partners,1
Echo Health Venturesl,1
Pereg Ventures,1
Liberty Gloval Ventures,1
Georgian Partners,1
ARCH Venture Partners,1
Bond Capital,1
Monashees+,1
Golden Gate Ventures,1
Redpoint Ventures China,1
Korelya Capital,1
Myer Family Investments,1
Transformation Capital,1
Ascension Ventures,1
Johnson & Johnson Innovation,1
Astral Capital,1
Canaan Partners,1
Two Sigma Ventures,1
Chuanrong Capital,1
Songhyun Investment,1
Aker,1
World Lab Innovation,1
FinVC,1
Mountain Nazca,1
Bling Capital,1
Canapi Ventures,1
Javelin Venture Partners,1
Causeway Media Partners,1
Elaia Partners,1
S-Cubed Capital,1
G Squared,1
Highland Capital Partners,1
Invus Group,1
Blueflame Capital,1
MenloVentures,1
EXOR Seeds,1
Group GSR Ventures,1
Revolution Ventures,1
Ideal International,1
SBI Investment,1
Hundreds Capital,1
Sunstone Capital,1
Blu Venture Investors,1
Ireland Strategic Investment Fund,1
Qualgro,1
Oriental Fortune Capital,1
Thrity Five Ventures,1
Longzhu Capital,1
Advancit Capital,1
Sino-Ocean Capital,1
JMI Equity,1
iFLYTEK,1
Point Nine Capital,1
Lightspeed India Partners,1
Quona Capital,1
Haitong Leading Capital Management,1
Group 11,1
Kite Ventures,1
Huagai Capital,1
Shenzhen Qianhe Capital Management Co.,1
Deerfield Management,1
FANUC,1
TLV Partners,1
Western Capital Management,1
Cox Automotive,1
Ping An Insurance,1
Trifecta Capital Advisors,1
General Catalyst Partners,1
BA Capital,1
58.com,1
Tiantu Capital Co.,1
Charter Venture Capital,1
Tokyo Century Corporation,1
Spectrum Equity,1
Homebrew,1
Glory Ventures,1
Mubadala Capital,1
Amiti Ventures,1
March Capital Partners,1
ClalTech,1
Shang Qi Capital,1
BEENEXT,1
and Sequoia Capital China,1
